id,score0,score1,score2,difficulty
hvkybhptdsgb,0.12,0.48,0.3,level2
dyjgsdfdcr,0.0,0.33,0.47,level0
awioqvjmavuj,0.07,0.43,0.26,level1
qoungexdejdy,0.09,0.43,0.29,level0
afrtakreuyu,0.0,0.46,0.31,level2
spzcfdnxhb,0.25,0.25,0.19,level2
litqgnwpnxra,0.28,0.18,0.06,level2
glipuqnwx,0.0,0.65,0.38,level2
bdtgedh,0.0,0.53,0.43,level0
fihubybm,0.0,0.48,0.63,level0
gaoxqudyltk,0.21,0.42,0.47,level1
mlhqurshtjq,0.02,0.48,0.66,level1
cqesulqzxbk,0.15,0.32,0.16,level1
rtbswnlubtw,0.0,0.6,0.09,level0
lwnkiztscn,0.16,0.65,0.29,level0
ybimjaav,0.05,0.5,0.21,level0
