id,score0,score1,score2,difficulty
kfjupc,0.16,0.5,0.33,level0
zqilbf,0.26,0.11,0.47,level2
kahyhkxigiha,0.04,0.0,0.29,level0
rfjtuje,0.54,0.2,0.41,level1
tvditf,0.08,0.01,0.38,level1
adbwoyq,0.19,0.12,0.06,level0
jzmodoedd,0.35,0.0,0.05,level2
tzuqxvrl,0.11,0.26,0.39,level1
yvrpzusu,0.35,0.28,0.42,level2
jgfznqrraq,0.14,0.15,0.15,level1
ehyenovw,0.15,0.1,0.23,level0
plbvqqitcah,0.06,0.29,0.42,level0
chmuqcrkciz,0.0,0.25,0.22,level2
cxhvvumq,0.29,0.47,0.08,level0
odkhmsuslojt,0.42,0.03,0.4,level2
ubcwrxffevc,0.0,0.21,0.0,level0
lfvhgklct,0.16,0.2,0.15,level1
dkayzlpfwniq,0.29,0.0,0.18,level1
adafzplcjlm,0.13,0.2,0.23,level0
pcwfpz,0.1,0.3,0.56,level2
hprgetnociiu,0.37,0.0,0.23,level2
wqbxypynzns,0.02,0.01,0.37,level2
jrgcfxj,0.26,0.3,0.46,level2
xuhbnnqjof,0.3,0.29,0.1,level1
ubizsqnarks,0.3,0.0,0.24,level1
bslkkxc,0.16,0.0,0.16,level2
vwjlwag,0.4,0.4,0.17,level0
rwmrawj,0.05,0.15,0.18,level2
zixefqlgtqea,0.15,0.08,0.18,level1
nqvpthh,0.11,0.24,0.32,level2
lvqucfssehab,0.0,0.08,0.3,level0
drgpdwmwislc,0.06,0.08,0.31,level1
qfvkkc,0.1,0.2,0.08,level1
hhrnidvqdo,0.0,0.0,0.17,level1
vftysikm,0.0,0.17,0.0,level2
bvsviglouha,0.12,0.0,0.38,level0
rchyanzwtym,0.35,0.27,0.24,level1
lsweoail,0.2,0.62,0.0,level0
bwiuefmlpkz,0.01,0.07,0.05,level0
smejrebjeoz,0.0,0.1,0.03,level0
qgrlly,0.0,0.27,0.28,level1
rypuaipx,0.36,0.21,0.12,level0
myxihuqgi,0.23,0.26,0.28,level2
zyamfwjokxr,0.0,0.13,0.11,level0
njpdhun,0.0,0.17,0.01,level1
gokkoebldgbx,0.0,0.38,0.16,level0
ymgheuatng,0.16,0.46,0.41,level1
thwqno,0.0,0.46,0.44,level0
phmoav,0.17,0.22,0.11,level1
epunmne,0.06,0.12,0.0,level2
yxmpic,0.23,0.23,0.12,level1
ebjhhh,0.28,0.21,0.26,level0
ubimkfb,0.2,0.3,0.34,level0
jcknyfps,0.08,0.0,0.16,level1
wiwiiisusv,0.49,0.11,0.05,level2
hhioxunthr,0.0,0.06,0.24,level1
lvoulsgyy,0.26,0.26,0.34,level0
drmjcv,0.09,0.25,0.45,level0
epmfioea,0.18,0.01,0.23,level0
ijqdlmmg,0.28,0.0,0.0,level0
xqpenqc,0.03,0.26,0.5,level1
ieqkuma,0.12,0.39,0.31,level2
oooufwvqpv,0.0,0.14,0.51,level2
onrvugshmik,0.04,0.33,0.37,level0
lsvnmtu,0.1,0.34,0.26,level0
hjdusaburtrp,0.14,0.0,0.01,level2
qqxjlg,0.01,0.27,0.11,level2
uktctqxx,0.15,0.29,0.15,level0
nkpkfbfcy,0.41,0.26,0.39,level0
pwsovbofo,0.1,0.3,0.33,level2
bqjaez,0.23,0.32,0.12,level0
smgggs,0.16,0.0,0.35,level2
ywkihfgw,0.05,0.13,0.39,level2
samkvbgcv,0.02,0.15,0.3,level0
ricyci,0.01,0.42,0.02,level1
eeoxrmyrzxl,0.0,0.0,0.26,level1
tecuolc,0.06,0.11,0.2,level1
jyhmiqk,0.0,0.34,0.39,level2
asbezymi,0.1,0.06,0.17,level2
gxcplwryfjd,0.0,0.06,0.32,level0
yfghpnujrx,0.29,0.29,0.0,level1
jpmixks,0.12,0.43,0.01,level0
ndhkfidxt,0.21,0.14,0.14,level2
sxwzqld,0.14,0.0,0.08,level1
xvrtfucnagz,0.13,0.0,0.16,level1
cicbtvr,0.0,0.01,0.4,level0
gclbqtpifmu,0.24,0.18,0.37,level1
txurdblutnt,0.18,0.35,0.27,level1
qyypzo,0.0,0.03,0.18,level1
jvajvhbvx,0.0,0.5,0.25,level0
dgblrqjwa,0.15,0.0,0.08,level0
yecjuslw,0.01,0.0,0.12,level2
rklyconzjf,0.11,0.32,0.07,level2
ooifwxiw,0.0,0.2,0.12,level1
ckszfvp,0.04,0.0,0.22,level2
upcgwd,0.18,0.29,0.16,level1
phozna,0.21,0.0,0.13,level0
qsgglz,0.0,0.0,0.53,level2
igmopb,0.07,0.2,0.2,level0
uauyoesdy,0.18,0.3,0.19,level2
ywfpgy,0.21,0.12,0.38,level1
cldjgve,0.13,0.17,0.08,level2
csebqr,0.12,0.16,0.07,level0
xlvztuupurc,0.08,0.01,0.12,level2
sgbuzde,0.09,0.15,0.11,level2
tjcfzi,0.17,0.47,0.03,level2
