id,score0,score1,score2,difficulty
eyoqdm,0.13,0.65,0.37,level0
glzgurmuplzu,0.0,0.45,0.51,level0
ojbcmmrj,0.0,0.68,0.26,level0
lyhgvd,0.35,0.3,0.24,level0
ngomuim,0.0,0.55,0.43,level2
sobqrvrau,0.12,0.39,0.14,level0
ptjlwncn,0.11,0.45,0.44,level0
bahxqfyouqq,0.15,0.5,0.0,level1
dpwfbjadmf,0.0,0.23,0.43,level1
hbmludisxm,0.0,0.48,0.03,level1
rmzkgdrvuo,0.1,0.22,0.34,level0
hvkybhptdsgb,0.12,0.48,0.3,level2
haremvwl,0.15,0.62,0.32,level0
xwtwnocx,0.09,0.49,0.28,level2
ebsmrw,0.0,0.48,0.32,level1
kzmflcef,0.0,0.51,0.19,level1
wvaauxkpwhus,0.04,0.3,0.3,level1
rfzjyyqlngkz,0.27,0.63,0.34,level2
tpouduxl,0.0,0.29,0.18,level1
yytqhhwrft,0.0,0.6,0.4,level2
egrpmafi,0.28,0.45,0.14,level1
fbmmeqfx,0.15,0.42,0.35,level1
vexnrtxsdadc,0.0,0.51,0.31,level2
weaaliarso,0.03,0.17,0.45,level1
dailah,0.06,0.47,0.21,level1
ewcmpd,0.2,0.58,0.33,level2
vzpnmsgi,0.0,0.11,0.64,level2
wxvuwa,0.1,0.2,0.08,level0
mdwsbpszor,0.05,0.48,0.29,level2
heyktdtcx,0.0,0.34,0.02,level0
iqyrpsecshj,0.0,0.51,0.63,level0
wrxvshxx,0.0,0.45,0.22,level1
yxrsaflg,0.0,0.41,0.17,level2
xllhhyfbk,0.01,0.55,0.24,level1
pnfqalmvpk,0.12,0.38,0.26,level0
laaozjpypmkp,0.0,0.51,0.36,level2
uqiboxdah,0.0,0.18,0.43,level0
qoungexdejdy,0.09,0.43,0.29,level0
eentqsxeeqy,0.0,0.42,0.37,level2
zfjrmiquzfb,0.12,0.77,0.44,level0
itdnwt,0.31,0.25,0.39,level2
sizpggnwtfvx,0.26,0.57,0.43,level1
mqjengaanpk,0.0,0.3,0.41,level1
dyjgsdfdcr,0.0,0.33,0.47,level0
bcysirtn,0.25,0.54,0.27,level2
afrtakreuyu,0.0,0.46,0.31,level2
hpmgggx,0.1,0.31,0.41,level0
oheafhgx,0.0,0.58,0.56,level1
bukyfivubj,0.0,0.69,0.21,level0
kxpasqwbj,0.0,0.53,0.52,level0
ctsifyaeipdm,0.12,0.14,0.45,level1
sjrovndkqdn,0.01,0.31,0.23,level0
qwoewvdtt,0.3,0.41,0.39,level2
zllmvkwsazh,0.0,0.33,0.26,level0
bdjzazt,0.21,0.18,0.28,level2
vhgzgrwx,0.0,0.34,0.38,level0
jwpbwdfesdku,0.26,0.41,0.49,level2
ikhtbjacrp,0.07,0.43,0.1,level0
bdtgedh,0.0,0.53,0.43,level0
afyasjiolcz,0.0,0.37,0.15,level2
tewhaoup,0.15,0.52,0.46,level1
eubptkyou,0.0,0.68,0.52,level0
lwnkiztscn,0.16,0.65,0.29,level0
qcugwgum,0.0,0.66,0.23,level1
jlsvttgibj,0.08,0.56,0.34,level0
qjftngsfl,0.0,0.38,0.33,level1
jnfliz,0.02,0.48,0.36,level1
uclvbggjbni,0.0,0.47,0.33,level0
poaztskevoa,0.02,0.35,0.33,level2
tgirstbje,0.0,0.48,0.14,level2
drmzdsb,0.19,0.49,0.15,level1
lymnfat,0.03,0.21,0.34,level2
lrvpuhakmg,0.05,0.27,0.27,level0
kdkqwwziibm,0.41,0.38,0.25,level0
gsukefa,0.0,0.61,0.52,level1
nwdrhxcyaja,0.06,0.18,0.35,level1
fmozrnqogvwr,0.17,0.57,0.13,level2
kmixpumeihq,0.19,0.61,0.46,level2
xignolksje,0.25,0.45,0.46,level1
yeawmbkd,0.04,0.35,0.71,level2
mlhqurshtjq,0.02,0.48,0.66,level1
xcdaqwwfy,0.0,0.42,0.29,level0
